# Type 1, Type 2, Score
WTR,GRD,100.0000000000
GRD,FLY,95.5953260474
FIR,GRD,95.3629196545
GRD,STL,94.9741384235
FIR,STL,92.7212419794
ELC,STL,91.5260244851
FLY,STL,90.2090768910
STL,FRY,86.2976029060
WTR,FRY,85.9047668781
GRS,STL,85.8950490431
DRK,STL,84.2791463408
GRD,FRY,80.1110979223
FIR,FLY,79.5203943391
GRS,GRD,79.2670599179
GHT,STL,79.1637658421
WTR,FLY,79.0034903783
FGT,STL,78.6293334247
WTR,FGT,77.4027442826
WTR,STL,76.9912760239
GRS,FRY,76.9504719667
ELC,GRD,76.9107458648
RCK,STL,76.4052921987
PSN,GRD,76.0763174398
GRD,DRK,75.7437077194
FIR,FRY,75.1079611723
GRD,GHT,74.4618555546
FGT,GRD,73.5751731800
FGT,DRK,73.1190107707
FIR,ELC,72.5071440781
WTR,GHT,72.1735525192
ELC,FGT,71.5274431221
FIR,RCK,71.2853197751
WTR,DRK,71.0937153506
FIR,GRS,70.7748134427
FIR,PSN,70.1718609685
WTR,ELC,69.3498212401
GRD,RCK,69.3087428911
ELC,PSN,69.3025050385
GRD,BUG,69.0549925171
ELC,FRY,68.7735225037
BUG,STL,68.2901896117
FGT,PSN,68.1609067361
RCK,FRY,67.9245832473
ELC,FLY,67.6878700623
GRS,FGT,67.6303691081
FIR,FGT,67.6069202774
NRM,STL,67.5213284500
NRM,GRD,67.4026698117
ICE,STL,67.2478207539
FIR,GHT,67.2034421653
GRD,PSY,66.4989501564
GRD,---,66.3547792810
FGT,PSY,66.3184495991
DRG,STL,66.1593485007
FGT,FLY,65.9388657441
PSN,STL,65.7853959604
GRD,DRG,65.6797273285
FIR,DRK,65.2218213915
WTR,PSN,64.0148561717
ICE,GRD,63.8894598773
ICE,FRY,62.5703882755
WTR,PSY,62.5607414871
PSY,STL,62.3831079225
FIR,PSY,62.3566097133
FIR,BUG,62.3481221617
WTR,GRS,62.1067482790
FIR,WTR,62.0780498234
FLY,FRY,61.5639645172
DRG,FRY,60.4253052159
ELC,DRK,60.1080471981
FGT,FRY,60.1026511872
FGT,GHT,59.7323906015
FGT,DRG,59.1648201736
FGT,BUG,59.0359741062
FLY,RCK,58.9701734087
DRK,FRY,58.7752776728
GRS,DRK,58.2444244381
WTR,BUG,58.2030438741
PSN,RCK,57.9339870532
GRS,RCK,57.7257590000
ICE,FLY,57.6706374238
RCK,DRK,57.6231394535
ELC,GHT,57.5850200407
STL,---,56.7614154104
FIR,ICE,56.7489329793
PSN,FRY,56.4945360048
FLY,DRK,56.2678219592
NRM,FIR,56.2469749258
WTR,RCK,56.1796079666
FGT,RCK,55.4949023469
GRS,PSN,54.1476876676
PSN,FLY,54.1204192856
GRS,FLY,53.9665129047
NRM,WTR,53.9409213170
BUG,FRY,53.8335083523
FGT,---,53.6077431447
ELC,GRS,52.3535489632
FIR,DRG,52.2073277018
GRS,ICE,52.1007501981
ELC,PSY,51.7314211935
FIR,---,51.6970411996
WTR,ICE,51.3702904441
ICE,FGT,51.3614236289
ELC,RCK,51.3592503060
WTR,DRG,51.2806222125
FLY,GHT,51.1717175530
WTR,---,50.8156779402
ICE,DRK,50.7231109364
GRS,GHT,50.6666284767
GRS,BUG,50.6641186193
PSN,DRK,50.3797143714
ICE,GHT,50.2107045505
RCK,GHT,50.0141475425
NRM,FGT,49.8451804410
ELC,BUG,49.6134431949
BUG,RCK,49.4006102083
ICE,RCK,49.2506286455
ELC,DRG,49.1059830966
GHT,FRY,49.0919726848
ELC,ICE,48.8166557710
NRM,RCK,48.2879241470
ICE,BUG,47.9594764383
GRS,PSY,47.8962042318
FLY,DRG,46.9965598715
ICE,PSY,46.5941005279
DRG,DRK,46.4660359103
PSY,DRK,46.3423446634
PSY,RCK,46.2202588129
NRM,GRS,44.8595683814
NRM,FRY,43.9161255418
RCK,DRG,43.7142884673
RCK,---,43.6512880676
PSN,PSY,43.5702527945
ICE,PSN,43.1437562893
NRM,ICE,42.8388746813
BUG,DRK,42.6243818766
FLY,BUG,42.5694043618
NRM,GHT,42.5485085663
GRS,DRG,42.1195860781
GRS,---,42.0210240900
ICE,---,41.8832607310
FRY,---,41.8697642656
PSN,DRG,41.8319414335
FLY,PSY,41.2656104789
NRM,FLY,40.9978257791
NRM,ELC,40.7663053664
GHT,DRG,40.6104487607
PSY,GHT,40.1723030449
PSY,FRY,40.0063563604
GHT,DRK,39.7552024321
ELC,---,39.5317625292
FLY,---,37.4750550847
PSY,DRG,36.9867941345
ICE,DRG,36.4233225959
PSY,BUG,35.5427581547
PSN,GHT,34.7569641913
PSN,BUG,33.1484567950
NRM,DRK,32.9222364793
BUG,GHT,31.7949188463
BUG,DRG,31.7082531778
DRK,---,31.2698137102
NRM,PSN,30.9951749392
PSN,---,29.1922794509
NRM,PSY,28.7231564765
PSY,---,27.0995848563
NRM,BUG,25.4798359722
BUG,---,24.8549597891
NRM,DRG,20.7610003455
GHT,---,20.0960901671
DRG,---,16.0359536947
NRM,---,8.5247364963
