# Tera Type, mean, std, min, 25%, 50%, 75%, max
FRY,60.6083779112,15.6830403995,28.7963202431,48.8083732493,58.8196100069,69.9439794879,100.0000000000
GRD,58.2111408608,11.3700569959,38.6478971958,51.2108989476,55.6896058817,61.5422158021,90.8432037382
PSN,56.2048857260,12.7114162773,30.4395232004,46.8449918144,54.1400461105,64.6156740891,94.5026365688
ELC,54.4380137427,14.1288882794,24.1265760582,44.4620983420,51.7872316980,62.5926009902,96.2759128875
WTR,52.2480299627,11.1921139349,26.2481072161,44.2056103539,51.5812907929,58.4080742117,81.2703953191
FGT,51.1267287108,10.5104379724,31.3848017385,43.8791983348,48.8800252194,55.9455547158,83.0140581313
GHT,45.3192521953,14.7419813217,14.9749901300,35.8388324110,44.8214689271,54.4931666381,82.2047722913
PSY,44.2221236751,11.8839841567,21.4161416855,36.6560520617,43.8156157415,50.6748066653,73.0578903333
ICE,43.8775647142,11.5736526208,24.9447636600,35.0768710784,41.7058140840,49.0684964320,75.6330309958
NRM,43.3356415310,13.5614222561,12.1096090282,33.8762606190,41.9778971136,52.9277052085,77.7964755045
FLY,43.0117912968,10.2537292742,21.9900293444,34.9647687452,42.3507324895,47.6267303751,68.7248292577
DRK,42.9135084294,12.2072538810,21.1978430261,33.2962817356,41.9355064903,50.4436402947,73.5065041551
FIR,41.5000115070,10.7724931414,22.0563600435,34.7223349325,39.4411677454,47.5618448077,73.4224750391
BUG,40.4765502525,8.7813236722,19.5055586823,34.6555640216,39.2607440604,45.6945344518,63.7590513962
RCK,37.5486120203,10.7827840254,23.6450062461,30.0860508585,34.7157670574,43.6441622352,69.1838754768
GRS,36.2014843152,9.3084470963,22.6412615570,29.2174180547,33.9605382778,39.6161230197,62.5473813635
DRG,35.2661399583,11.3478282187,8.6882117509,26.8656574708,34.8701984230,41.4345797619,65.1334959773
---,33.2453458146,10.0007699935,6.8312933552,25.8712435112,33.0072638084,38.6478971958,64.2817734973
